,Name,R1toR2,R2toR3,R3toR4,R4toR5,R5toR6,R6toR7,R7toR8,R8toR9,R9toR10
dash,0.0,2.64,4.15,0.03,2.15,-0.01,3.57,0.51,0.31
datasets,3504000.0,4.48,1.94,21.54,18.47,0.03,1.27,1.38,0.02
datasette,52.97,22.17,21.52,3.38,4.53,4.08,9.71,8.43,16.49
dbt-core,43.23,16.86,18.83,16.62,5.24,23.56,0.0,0.17,23.18
DeDRM_tools,-8.52,-0.03,-0.43,-3.76,-0.03,-0.5,-0.02,-0.1,0.5
deep-daze,985.37,0.0,0.67,0.0,0.0,-0.22,0.0,0.0,7.38
DeepCTR,1.41,96.24,-17.41,7.98,-3.07,1.18,16.02,63.33,2.62
DeepFaceLive,-100.0,1802600.0,30.94,0.0,16.6,0.0,0.0,0.0,-0.01
DeepPavlov,4.35,48.39,37.82,16.4,0.16,0.97,7.69,0.0,0.69
DeepSpeed,93.7,62.83,5.34,7.74,23.67,3.62,9.96,3.92,10.02
deis,-5.92,7.12,5.58,16.95,6.62,3.46,13.14,2.95,10.06
detectron2,2.16,10.26,0.58,6.05,6.92,10.95,11.71,12.32,3.11
devicon,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
dgl,0.17,20.81,22.46,43.56,17.33,8.09,13.15,27.69,0.73
diagrams,0.88,0.03,0.3,19.61,8.97,11.24,0.08,0.08,0.06
dirsearch,2.98,0.01,0.46,0.1,185.11,0.07,-0.08,0.27,0.19
DisableWinTracking,4.83,14.47,6.32,11.35,10.19,24.67,15.19,2.76,13.13
django-crispy-forms,-4.85,0.02,6.33,1.6,1.6,1.54,0.38,2.27,-0.58
django-rest-framework,0.49,0.79,0.05,1.84,0.0,1.74,0.06,0.16,4.35
doccano,0.64,-1.43,4.2,0.08,8.32,7.18,0.0,6.42,0.02
docker-py,0.04,0.19,37.86,1.88,16.02,0.12,-0.18,-3.09,2.42
dumb-init,-100.0,10600.0,67.29,181.56,4.76,20.83,13.01,0.0,2.5
dvc,16.2,0.02,0.04,0.19,13.22,5.61,39.18,0.01,0.0
edgedb,29.82,6.5,1.78,10.11,-4.52,-2.34,16.96,16.07,0.1
Eel,0.0,0.33,0.17,0.0,31.61,0.25,1.51,0.87,0.25
erpnext,0.01,-0.03,0.01,0.81,-0.01,0.03,0.01,0.07,0.02
espnet,4.0,0.46,-0.56,40.44,0.0,0.0,66.06,5.81,39.6
