,Name,R1toR2,R2toR3,R3toR4,R4toR5,R5toR6,R6toR7,R7toR8,R8toR9,R9toR10
DALLE-pytorch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DALLE2-pytorch,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
darts,-4.38,0.0,0.0,-10.58,5.86,0.0,3.51,0.0,0.0
dash,0.0,-1.77,0.44,0.0,-0.42,-0.24,0.0,0.0,0.0
datasets,7750.3,-0.27,-1.0,-0.69,-3.7,0.0,0.0,0.07,-0.07
datasette,-10.76,-9.85,-1.63,-0.0,-0.0,-0.38,-0.05,0.0,-0.23
dbt-core,-22.48,-2.16,-4.17,5.35,0.0,-3.91,0.0,0.0,14.18
DeDRM_tools,7.28,0.0,0.0,3.09,0.0,0.0,0.0,0.0,0.0
deep-daze,-14.34,0.0,-0.93,0.0,0.0,0.0,0.0,0.0,0.0
DeepCTR,-0.17,-8.36,5.18,0.83,6.03,1.53,0.63,-0.94,0.0
DeepFaceLive,-100.0,6647.44,4.13,0.0,-0.23,0.0,0.0,0.0,0.0
DeepPavlov,5.22,-12.28,-1.38,0.0,0.0,-0.21,-1.1,0.0,0.0
DeepSpeed,0.19,2.46,7.54,0.43,0.96,0.05,-0.52,-1.51,-0.82
deis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
detectron2,-0.33,1.47,-0.06,0.38,2.51,2.98,0.15,3.63,-0.22
devicon,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
dgl,0.0,-1.48,-0.47,-3.49,3.29,1.94,-0.35,-1.35,0.07
diagrams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dirsearch,0.55,0.0,0.0,-1.71,6.06,0.0,0.0,0.0,0.0
DisableWinTracking,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
django-crispy-forms,-5.32,0.0,-2.75,0.0,-0.09,0.0,0.0,-0.22,-0.13
django-rest-framework,0.0,-0.11,1.43,-1.15,0.0,0.0,0.0,-0.88,0.22
doccano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
docker-py,0.0,0.0,11.85,0.0,-14.9,0.0,0.0,0.0,-1.05
dumb-init,-100.0,6390.75,5.36,21.78,-1.17,-12.08,-1.33,0.0,0.0
dvc,52.66,0.0,0.0,0.0,-1.36,3.18,-15.41,0.0,0.0
edgedb,0.74,-7.79,-0.35,-3.21,2.34,0.81,-4.56,0.56,0.0
Eel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
erpnext,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
espnet,0.0,0.02,-0.02,-6.87,0.0,0.01,-0.0,-1.25,2.85
esptool,2.15,0.0,0.0,-15.22,-28.25,-0.78,0.0,0.0,0.0
face-alignment,0.0,0.0,1.07,0.0,0.0,-0.97,1.13,0.0,0.22
fail2ban,-1.14,1.15,0.0,0.0,1.18,-7.19,7.75,0.0,-6.85
fairseq,-3.9,-3.64,-3.66,0.96,-1.27,0.0,-0.62,1.95,-3.93
faker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falcon,-1.53,3.05,0.0,0.0,0.0,0.0,-0.2,-0.82,0.0
fantasque-sans,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
fastapi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FATE,-8.23,0.2,0.07,0.0,-1.88,0.0,-0.01,1.45,0.24
featuretools,-0.72,0.46,0.0,1.16,0.0,-4.59,-0.57,0.0,-4.04
flair,11.56,-2.78,-7.56,-8.36,-0.84,1.64,0.8,0.15,-0.86
Flashlight,0.0,8.67,-7.97,-5.78,0.0,-4.5,0.0,-13.04,2.17
flask-admin,-3.19,1.15,1.32,-0.65,0.0,0.0,0.66,0.0,-4.53
flask,-0.39,0.39,-0.39,0.0,0.0,1.42,0.33,0.9,0.0
folium,-0.0,6.1,0.0,-5.75,-0.0,2.39,-1.11,0.51,-3.28
