R1toR2,R2toR3,R3toR4,R4toR5,R5toR6,R6toR7,R7toR8,R8toR9,R9toR10
293,133,34,149,65,43,178,344,9
0,0,3,1,1,5,62,1,5
22,0,2,1,107,34,97,84,12
1,5,165,27,199,67,68,10,73
18,40,25,38,9,7,27,25,36
1,24,5,182,2,2,8,2068,257
231,445,14,388,17,24,126,25,27
4005,541,438,116,324,1539,56,4468,208
21,50,28,9,16,4,16,39,13
108,68,100,225,23,137,45,92,274
9,5,8,4,9,49,5,8,32
7,0,104,254,18,11,35,5,65
18,18,28,31,44,47,61,31,21
132,108,18,0,31,27,0,0,0
18,2,0,1,13,6,33,7,4
0,7,14,48,30,26,8,13,42
30,1,170,12,67,54,0,157,69
0,0,2,0,3,5,0,2,2
43,0,0,40,197,0,156,37,168
30,14,6,33,9,10,8,16,3
90,433,126,32,39,124,104,32,26
85,24,92,0,0,40,22,40,54
78,2,16,8,86,0,85,140,25
100,84,55,12,8,6,12,16,28
18,17,1881,18,19,20,7,46,0
53,0,1,38,53,72,1,22,0
841,106,18,6,1,298,330,97,0
3,5,7,9,2,4,7,20,10
24,90,63,57,67,22,10,10,39
27,36,98,26,29,5,5,36,98
10,125,67,377,6,1,3,2,0
231,410,0,8,2,10,31,1,8
244,183,182,47,79,54,201,78,2
246,775,1220,27,57,0,30,0,7
20,28,10,0,0,8,21,0,299
47,43,0,53,56,47,112,126,5
1,1,0,1,0,2,4,232,62
7,57,97,7,97,27,3,6,80
3,1,1,5,56,77,20,53,34
96,22,68,18,10,26,14,32,21
97,62,203,117,84,5,0,13,88
4,16,0,18,7,12,68,27,14
0,0,0,0,1,1,1,0,0
61,61,63,91,16,2,7,6,1
41,88,81,140,92,164,146,25,154
6,0,1,0,10,25,15,0,3
33,19,0,19,27,1,29,39,22
3,166,96,93,27,52,28,48,62
27,78,305,41,0,107,167,131,34
7,14,20,21,34,20,16,18,35
14,11,96,53,67,0,11,8,35
77,6,2,19,17,12,3,4,5
466,2,11,42,0,63,49,14,129
6,6,124,5,106,188,0,23,0
8,14,120,4,0,2,3,15,15
188,249,34,99,31,109,0,14,62
44,55,32,0,27,0,41,1,35
4,3,31,78,0,46,1,31,6
18,19,2,4,5,685,673,58,53
2,49,123,75,89,175,63,68,135
8,11,3,4,4,23,23,40,22
197,36,4,236,198,16,148,2,0
4,0,1,1,0,0,0,5,0
1,6,0,39,3,5,45,12,56
6,0,18,20,6,7,2,5,12
206,4,29,1,15,12,5,1,55
0,9,4,6,0,3,0,1,6
12,169,0,56,7,135,0,13,149
27,8,208,154,34,148,196,39,59
10,0,12,0,0,30,0,6,110
21,2,15,4,36,109,79,33,291
72,154,387,37,9,9,18,11,18
3,8,1,7,24,3,33,56,23
1,3,6,16,0,0,2,0,0
49,2,51,20,12,9,10,0,3
17,22,7,13,14,13,13,13,28
0,0,0,1,0,0,0,3,2
118,133,88,94,49,337,181,8,331
0,25,0,63,19,51,33,41,4
0,68,590,42,95,2,0,2,128
161,90,88,62,15,65,5,27,201
1,28,6,7,11,0,3,96,63
1,0,123,22,47,0,6,44,20
13,56,24,53,1,90,1,5,13
7,152,23,56,91,166,66,89,47
18,56,37,54,8,270,0,0,54
136,2,27,11,2,13,34,35,22
20,82,9,36,206,3,3,57,18
65,22,96,27,21,20,30,35,1
68,1,9,36,71,51,51,15,34
9,76,27,35,13,1,88,2,35
0,1,0,4,0,0,0,0,0
7,24,24,11,14,14,42,118,170
2,308,34,6,18,17,46,7,36
18,6,7,0,0,19,115,105,20
90,2,4,4,83,0,2,237,7
16,18,37,169,78,101,284,581,14
14,24,35,21,43,13,24,6,24
3,0,6,5,2,4,1,1,3
3,78,225,33,83,19,60,9,14
70,395,568,1113,16,55,3,101,21
25,93,104,1294,515,4,8,137,148
0,79,11,3,58,2,19,33,16
7,6,3,60,36,90,1,20,2
28,172,1,127,146,170,82,13,232
171,210,157,137,109,79,15,128,2
30,178,291,55,414,21,46,19,145
56,111,154,171,129,95,114,114,89
1,0,2,0,13,4,7,7,34
0,50,160,31,67,23,25,10,18
0,0,2,7,4,0,13,0,0
0,0,0,0,0,15,0,3,0
0,0,1,36,33,53,11,27,22
315,103,70,131,163,1,270,532,114
1,78,101,35,125,21,27,9,45
13,1,7,64,0,5,168,29,90
85,91,48,23,7,297,56,35,60
20,77,4,126,81,108,73,181,5
69,37,32,31,40,81,11,22,66
7,3,9,0,211,18,32,12,26
1,7,148,1,1,0,12,118,8
147,10,204,215,7,244,89,11,12
0,0,0,0,0,0,2,0,0
0,1,2,22,0,2,6,6,6
4,35,27,26,39,26,32,51,36
6,15,6,235,27,31,15,53,35
2,12,20,2,4,7,0,2,11
142,158,160,128,248,71,74,24,143
6,1,13,36,13,12,10,2,4
26,8,13,14,27,1,7,35,20
1,27,3,3,475,60,32,33,40
0,0,0,0,0,0,1,0,3
5,41,35,6,37,41,41,0,42
3,2,4,6,17,112,59,130,272
0,3,4,3,4,4,6,0,5
2,4,2,7,7,51,11,113,10
94,119,35,37,43,3,7,35,72
18,13,5,29,7,23,3,2,33
13,0,5,0,1,30,58,4,78
