,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
django-rest-framework,32971,33133,33395,33412,34026,34026,34617,34639,34693,36203
doccano,5135,5168,5094,5308,5312,5754,6167,6167,6563,6564
docker-py,4704,4706,4715,6500,6622,7683,7692,7678,7441,7621
dumb-init,0,0,107,179,504,528,638,721,721,739
dvc,4110,4776,4777,4779,4788,5421,5725,7968,7969,7969
edgedb,139537,181145,192918,196353,216213,206433,201606,235808,273710,273988
Eel,598,598,600,601,601,791,793,805,812,814
erpnext,40030,40033,40022,40027,40351,40345,40356,40362,40392,40399
espnet,7733,8042,8079,8034,11283,11283,11283,18737,19825,27675
esptool,1124,1388,1425,1425,1678,8491,8736,8759,8891,9016
face-alignment,1597,1597,1542,2390,2393,2298,2108,2136,2148,2193
fail2ban,7850,7709,7822,9004,9004,9381,12217,9412,9487,13808
fairseq,7278,10735,14129,19017,20187,26262,27337,27985,34460,45275
faker,16858,21672,28220,28244,28250,99692,99796,99796,100698,100700
falcon,46344,48110,49410,49797,49797,49797,49797,49948,52171,52171
fantasque-sans,0,0,0,0,0,0,0,0,0,0
fastapi,5200,10856,10924,10944,10999,11030,11153,11244,11643,11661
FATE,24596,46900,62756,62662,62668,79032,78033,78142,92177,92539
featuretools,13595,13788,14607,14608,14764,14824,15019,15548,15485,15961
flair,2676,4320,5862,6162,6256,8900,9441,13895,16836,18531
Flashlight,82,101,342,432,450,460,471,471,607,673
flask-admin,16010,20862,21628,22419,23904,24889,24895,26159,26520,26123
flask,14293,15994,14294,16044,16057,16131,16005,16929,16972,16998
folium,2115,2259,2376,2730,6885,6885,4806,8492,8556,9944
freqtrade,1583,1819,2018,3440,3543,3816,4279,7845,7845,7845
frida,783,783,937,939,939,939,939,939,939,939
frigate,749,586,602,645,654,701,721,753,753,787
fuzzywuzzy,1096,1120,1132,1149,1144,1289,1292,1292,1324,1357
gallery-dl,2655,3064,3572,4092,5179,5781,6432,6713,7023,7549
gef,9706,9855,10779,11272,11265,11268,11114,11586,11750,11865
gensim,21175,21176,21690,22906,23274,24010,26063,26532,27260,27480
gevent,55181,55211,54742,55736,69852,74044,75252,75857,76244,76482
GitGutter,752,762,768,843,850,876,876,876,899,925
glances,12959,12960,12959,13665,13668,14489,14710,14730,17059,17934
gluon-cv,11831,18507,32630,41037,50922,63951,72813,78739,99906,107071
google-api-python-client,12734,12827,13150,13253,13277,13318,13581,13582,13677,13883
google-cloud-python,16081,20494,21171,22151,23010,24367,25985,24401,28672,41669
googler,297,309,393,414,423,423,425,440,487,528
graphene,4554,5109,5234,5313,5249,5945,6355,7736,7788,8737
great_expectations,8754,8764,11278,11279,12011,12200,12491,13564,14430,14441
grr,146176,176990,178145,183911,189540,189566,187494,194625,205416,206766
gspread,1960,2135,2138,2147,2527,2445,2445,2674,2716,2934
guake,4127,4239,4324,4353,4377,4377,5000,5000,5047,5047
gunicorn,15275,15580,17037,17370,17406,19175,19183,19205,19459,19459
gym,15001,15265,12893,9474,13133,19493,19007,18937,20299,19767
HanLP,0,0,0,0,0,0,0,0,0,0
