,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
docker-py,2725,2727,2730,3751,3838,4510,4521,4518,4381,4462
dumb-init,0,0,42,93,255,269,334,370,370,378
dvc,2751,3180,3180,3180,3188,3614,3820,5327,5328,5328
edgedb,52846,64386,68093,69261,74765,71923,70709,81236,93498,93563
Eel,412,412,412,413,413,502,502,507,510,512
erpnext,21209,21211,21208,21210,21389,21387,21396,21400,21421,21425
espnet,4506,4683,4705,4677,6653,6653,6612,11063,11740,16147
esptool,727,871,906,906,1086,5177,5346,5360,5462,5543
face-alignment,1032,1032,1009,1456,1460,1396,1216,1214,1214,1234
fail2ban,3892,3844,3876,4550,4550,4799,6193,4825,4867,7034
fairseq,4227,6331,7898,10461,11199,14165,14800,15108,18543,24251
faker,2507,3162,4385,4384,4389,15325,15398,15398,15728,15729
falcon,20306,21284,22028,22209,22209,22209,22209,22270,22862,22862
fantasque-sans,0,0,0,0,0,0,0,0,0,0
fastapi,3021,4218,4236,4249,4276,4299,4328,4366,4501,4515
FATE,12730,23204,30982,31126,31130,42966,42490,42575,49345,49541
featuretools,7240,7350,7534,7534,7616,7656,7774,8036,8053,8323
flair,1832,2839,3724,3901,3973,5673,5982,7357,8712,9613
Flashlight,69,82,291,337,346,347,354,354,414,442
flask-admin,8067,10820,11268,11695,12424,12936,12939,13559,13767,13616
flask,7977,8326,7977,8353,8358,8403,8312,8769,8796,8813
folium,873,922,994,1121,2402,2402,1483,2853,2870,3242
freqtrade,815,917,1016,1823,1878,1968,2227,3905,3905,3905
frida,305,305,406,404,404,404,404,404,404,404
frigate,449,356,366,397,406,435,450,469,469,493
fuzzywuzzy,580,588,598,607,600,652,652,652,677,698
gallery-dl,1495,1708,2160,2525,3234,3631,4058,4246,4462,4723
gef,6992,7089,7807,8173,8156,8159,8075,8410,8515,8569
gensim,11444,11445,11694,12412,12657,13009,14188,14533,14991,15114
gevent,36749,36754,36425,37076,46573,48917,49389,49506,49624,49765
GitGutter,537,543,548,595,601,615,615,615,630,646
glances,6867,6863,6863,7352,7355,7845,7930,7945,9196,9431
gluon-cv,5509,8548,14798,18522,23792,30307,33898,36732,48984,52569
google-api-python-client,5851,5909,6080,6136,6153,6180,6313,6314,6373,6503
google-cloud-python,8885,10969,11373,11903,12508,13286,14134,13103,15588,20843
googler,227,239,320,340,348,348,350,361,368,402
graphene,2363,2699,2762,2814,2758,3179,3431,4162,4192,4738
great_expectations,2623,2615,3791,3791,4032,4214,4324,4678,5091,5094
grr,73405,89926,90491,91735,94551,94667,93093,97330,103248,104096
gspread,925,1034,1031,1031,1170,1137,1137,1250,1258,1329
guake,2268,2322,2366,2392,2407,2407,2654,2654,2819,2819
gunicorn,8894,9073,9903,10140,10164,11289,11293,11310,11470,11470
gym,8494,8617,7922,6195,8128,10206,9939,10009,9641,9327
HanLP,0,0,0,0,0,0,0,0,0,0
haystack,345,1090,3212,3412,4942,5747,6352,8085,9956,11039
healthchecks,4878,4892,4893,4894,4908,7159,7302,7643,7981,8442
Hitomi-Downloader,0,0,0,0,0,0,0,0,0,129
horovod,13630,13877,15486,15492,15498,15514,20605,21763,21763,22388
hosts,0,0,1790,1790,1790,1790,1790,1789,1789,1789
http-prompt,1748,2335,2542,2556,2725,2741,2786,2760,3174,3210
httpie,2154,2755,2104,2097,2019,2033,2008,1677,1677,1655
httpx,4917,5748,6223,6320,5486,5511,5526,5527,5527,5528
Hub,7451,7451,7456,8399,8489,8907,9585,9675,11125,9911
